PRN,Sys,El(°),Az(°),Freq,SNR,Pseudorange (m),Phase (cyc)
C01,BDS,35.1,132.6,2I,43.3,38214704.32306174,198994064.74530596
C01,BDS,35.1,132.6,6I,39.4,38214702.50544706,161698923.6061861
C01,BDS,35.1,132.6,7I,39.4,38214700.39466873,153874826.27272147
C02,BDS,33.3,216.9,2I,37.2,37732471.91810095,196482935.6450657
C02,BDS,33.3,216.9,6I,40.1,37732465.830348186,159658482.2607554
C02,BDS,33.3,216.9,7I,41.8,37732463.27675313,151933062.35034344
C03,BDS,44.1,181.4,2I,44.8,36958633.67541886,192453351.75998077
C03,BDS,44.1,181.4,6I,38.6,36958628.69610393,156384109.80455607
C03,BDS,44.1,181.4,7I,39.9,36958627.28724315,148817131.09458613
C08,BDS,66.0,263.6,2I,28.8,36657920.169239834,190887472.42024273
C13,BDS,57.8,254.1,2I,32.6,37037319.000026084,192863131.71120742
C13,BDS,57.8,254.1,6I,32.3,37037318.17693421,156717114.05298427
C13,BDS,57.8,254.1,7I,28.7,37037318.43659345,149134037.79534218
C33,BDS,45.8,206.2,1P,47.7,23323316.668861046,122564888.44537185
C33,BDS,45.8,206.2,2I,48.6,23323318.716539398,121450672.43449168
C33,BDS,45.8,206.2,5P,47.1,23323343.481888413,91525848.49071878
C33,BDS,45.8,206.2,6I,48.1,23323330.152714096,98688679.60454509
C33,BDS,45.8,206.2,7D,46.0,23323342.11602497,93913471.1263499
C59,BDS,36.9,138.4,2I,45.1,37934294.71200591,197533881.09594524
C59,BDS,36.9,138.4,6I,39.4,37934279.37703376,160512416.3228468
C59,BDS,36.9,138.4,7D,45.8,37934281.6078696,152745694.50983608
C60,BDS,32.4,222.6,2I,39.6,38097555.93713117,198384021.2721141
C60,BDS,32.4,222.6,6I,40.6,38097538.47295325,161203219.3917318
C60,BDS,32.4,222.6,7D,39.9,38097540.43575374,153403077.77784687
E04,GAL,46.9,114.4,5Q,26.2,24723768.202323187,97021987.53239025
E04,GAL,46.9,114.4,6C,26.2,24723767.17597118,105458586.1925507
E04,GAL,46.9,114.4,7Q,30.9,24723768.803169083,99552961.67372675
